company_slug,company_name,url,page_kind,confidence,job_title,job_count,role_titles,http_status,parser_name,parser_version,classified_at,evidence
alpas,Alpas,https://alpas.ai/career/senior-software-engineer-f-m-d/,job_detail,0.86,(Senior) Software Engineer,4,"[""(Senior) Software Engineer"", ""Senior Software Engineer F M D"", ""Software Engineer"", ""Software Developer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.846745+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 3, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/senior-software-engineer-f-m-d/"", ""role_like_path"": true, ""role_titles"": [""(Senior) Software Engineer"", ""Senior Software Engineer F M D"", ""Software Engineer"", ""Software Developer""], ""title"": ""(Senior) Software Engineer - Python (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/senior-machine-learning-engineer-f-m-d/,job_detail,0.86,Senior Machine Learning Engineer (f/m/d),5,"[""Senior Machine Learning Engineer (f/m/d)"", ""Senior Machine Learning Engineer F M D"", ""Senior Machine Learning Engineer"", ""Software Engineer"", ""Backend Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.846033+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 3, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/senior-machine-learning-engineer-f-m-d/"", ""role_like_path"": true, ""role_titles"": [""Senior Machine Learning Engineer (f/m/d)"", ""Senior Machine Learning Engineer F M D"", ""Senior Machine Learning Engineer"", ""Software Engineer"", ""Backend Engineer""], ""title"": ""Senior Machine Learning Engineer (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/senior-customer-success-manager-f-m-d/,job_detail,0.86,(Senior) Customer Success Manager (f/m/d),2,"[""(Senior) Customer Success Manager (f/m/d)"", ""Senior Customer Success Manager F M D""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.845219+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 2, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/senior-customer-success-manager-f-m-d/"", ""role_like_path"": true, ""role_titles"": [""(Senior) Customer Success Manager (f/m/d)"", ""Senior Customer Success Manager F M D""], ""title"": ""(Senior) Customer Success Manager (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/senior-backend-engineer-java/,job_detail,0.86,(Senior) Backend Engineer,3,"[""(Senior) Backend Engineer"", ""Senior Backend Engineer Java"", ""Backend Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.844489+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 3, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/senior-backend-engineer-java/"", ""role_like_path"": true, ""role_titles"": [""(Senior) Backend Engineer"", ""Senior Backend Engineer Java"", ""Backend Engineer""], ""title"": ""(Senior) Backend Engineer - Java (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/internship-founders-associate/,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.843918+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 3, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/internship-founders-associate/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Internship: Founder\u2019s Associate - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/founders-associate-f-m-d/,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.843341+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 2, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/founders-associate-f-m-d/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Founders\u2019 Associate (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alpas,Alpas,https://alpas.ai/career/business-development-manager-f-m-d/,job_detail,0.86,Account Executive (f/m/d),2,"[""Account Executive (f/m/d)"", ""Business Development Manager F M D""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.842691+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 3, ""domain"": ""alpas.ai"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/business-development-manager-f-m-d/"", ""role_like_path"": true, ""role_titles"": [""Account Executive (f/m/d)"", ""Business Development Manager F M D""], ""title"": ""Account Executive (f/m/d) - Alpas"", ""url_kind"": ""careers_page""}"
alokai,Alokai,https://alokai.com/career/roles,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.842138+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""alokai.com"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career/roles"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Career Opportunity | Alokai"", ""url_kind"": ""careers_page""}"
alloy,Alloy,https://alloy.app/careers/software-engineer,job_detail,0.86,Software Engineer,1,"[""Software Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.841608+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 2, ""domain"": ""alloy.app"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/careers/software-engineer"", ""role_like_path"": true, ""role_titles"": [""Software Engineer""], ""title"": ""Software Engineer | Careers at Alloy"", ""url_kind"": ""careers_page""}"
alloy,Alloy,https://alloy.app/careers/pitch-us-a-role,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.841184+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 2, ""domain"": ""alloy.app"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers/pitch-us-a-role"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Pitch us a role | Careers at Alloy"", ""url_kind"": ""careers_page""}"
