id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
1084,1018,pocketsuite,PocketSuite,https://www.ycombinator.com/companies/pocketsuite,Lead Generalist Engineer,/companies/pocketsuite/jobs/WIUGZgMa8-lead-generalist-engineer,https://www.ycombinator.com/companies/pocketsuite/jobs/WIUGZgMa8-lead-generalist-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D1084&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1018,US / Remote (US),Full-time,eng,Full stack,Engineering,$174K - $192K,0.25% - 0.50%,6+ years,,US citizen/visa only,Android; Go; iOS; Java; JavaScript; Kotlin; Nginx; Objective-C; PostgreSQL; Python; React; Swift; TypeScript; Linux,False,over 8 years,5 months
47932,1018,pocketsuite,PocketSuite,https://www.ycombinator.com/companies/pocketsuite,Customer Success Product Expert & Business Coach,/companies/pocketsuite/jobs/4fAltNV-customer-success-product-expert-business-coach,https://www.ycombinator.com/companies/pocketsuite/jobs/4fAltNV-customer-success-product-expert-business-coach,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D47932&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1018,Remote (US),Full-time,support,,Support,$55K - $65K,0.10%,3+ years,,US citizen/visa only,,False,over 4 years,
93163,1018,pocketsuite,PocketSuite,https://www.ycombinator.com/companies/pocketsuite,Marketing Generalist - SMB Growth & Strategy,/companies/pocketsuite/jobs/JwwrzBW-marketing-generalist-smb-growth-strategy,https://www.ycombinator.com/companies/pocketsuite/jobs/JwwrzBW-marketing-generalist-smb-growth-strategy,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93163&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1018,US / Remote (US),Full-time,marketing,,Marketing,$65K - $80K,,3+ years,,US citizen/visa only,,False,3 months,
72243,1033,netomi,Netomi,https://www.ycombinator.com/companies/netomi,Technical Customer Success Manager,/companies/netomi/jobs/SCRjlNT-technical-customer-success-manager,https://www.ycombinator.com/companies/netomi/jobs/SCRjlNT-technical-customer-success-manager,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D72243&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1033,Toronto/North America (Remote),Full-time,support,,Support,,,,,US citizen/visa only,,False,over 1 year,8 months
59353,1037,function-of-beauty,Function of Beauty,https://www.ycombinator.com/companies/function-of-beauty,Graphic Designer,/companies/function-of-beauty/jobs/JeM3Hv2-graphic-designer,https://www.ycombinator.com/companies/function-of-beauty/jobs/JeM3Hv2-graphic-designer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D59353&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1037,"New York, NY, US",Full-time,design,Brand/graphic design,Design,$70K - $80K,,3+ years,,Will sponsor,,False,over 3 years,
88044,1042,podium,Podium,https://www.ycombinator.com/companies/podium,Senior AI Engineer - Utah,/companies/podium/jobs/pp9fqBd-senior-ai-engineer-utah,https://www.ycombinator.com/companies/podium/jobs/pp9fqBd-senior-ai-engineer-utah,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88044&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1042,"Lehi, UT, US",Full-time,eng,Full stack,Engineering,$160K - $190K,,6+ years,,US citizen/visa only,,False,7 months,about 1 month
88045,1042,podium,Podium,https://www.ycombinator.com/companies/podium,Staff AI Engineer - Utah,/companies/podium/jobs/l8BTq6f-staff-ai-engineer-utah,https://www.ycombinator.com/companies/podium/jobs/l8BTq6f-staff-ai-engineer-utah,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88045&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1042,"Lehi, UT, US",Full-time,eng,Full stack,Engineering,$190K - $215K,,11+ years,,US citizen/visa only,,False,7 months,
88046,1042,podium,Podium,https://www.ycombinator.com/companies/podium,Staff AI Engineer - USA,/companies/podium/jobs/qgKxAEM-staff-ai-engineer-usa,https://www.ycombinator.com/companies/podium/jobs/qgKxAEM-staff-ai-engineer-usa,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88046&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1042,"Lehi, UT, US / Remote (US)",Full-time,eng,Full stack,Engineering,$190K - $215K,,11+ years,,US citizen/visa only,,False,7 months,6 months
99745,1042,podium,Podium,https://www.ycombinator.com/companies/podium,Product Manager,/companies/podium/jobs/QhBnYwz-product-manager,https://www.ycombinator.com/companies/podium/jobs/QhBnYwz-product-manager,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D99745&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1042,"Lehi, UT, US",Full-time,product,,Product,$146K - $182K,,1+ years,,US citizen/visa only,,False,10 days,
99746,1042,podium,Podium,https://www.ycombinator.com/companies/podium,Senior Product Designer,/companies/podium/jobs/jbZybWM-senior-product-designer,https://www.ycombinator.com/companies/podium/jobs/jbZybWM-senior-product-designer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D99746&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=1042,"Lehi, UT, US",Full-time,design,Product design,Design,$146K - $182K,,1+ years,,US citizen/visa only,,False,10 days,9 days
